candidate_id,soil_strength_pa,scarring_drag_coefficient,scarring_layer_density_kgpm3,objective,mean_relative_depth_error,mean_relative_energy_loss_error,mean_relative_post_rebound_energy_error,chant_sura_2_1_observed_depth_m,chant_sura_2_1_simulated_depth_m,chant_sura_2_1_observed_energy_loss_j,chant_sura_2_1_simulated_energy_loss_j,chant_sura_2_1_observed_post_rebound_translational_j,chant_sura_2_1_simulated_post_rebound_translational_j,chant_sura_2_1_observed_total_translational_energy_loss_j,chant_sura_2_1_incoming_normal_speed_mps,chant_sura_2_1_incoming_tangent_speed_mps,chant_sura_2_1_post_contact_translational_j,chant_sura_2_1_post_scarring_translational_j,chant_sura_2_1_scarring_loss_fraction_of_post_contact_energy,chant_sura_2_1_relative_depth_error,chant_sura_2_1_relative_energy_loss_error,chant_sura_2_1_relative_post_rebound_energy_error,chant_sura_2_2_observed_depth_m,chant_sura_2_2_simulated_depth_m,chant_sura_2_2_observed_energy_loss_j,chant_sura_2_2_simulated_energy_loss_j,chant_sura_2_2_observed_post_rebound_translational_j,chant_sura_2_2_simulated_post_rebound_translational_j,chant_sura_2_2_observed_total_translational_energy_loss_j,chant_sura_2_2_incoming_normal_speed_mps,chant_sura_2_2_incoming_tangent_speed_mps,chant_sura_2_2_post_contact_translational_j,chant_sura_2_2_post_scarring_translational_j,chant_sura_2_2_scarring_loss_fraction_of_post_contact_energy,chant_sura_2_2_relative_depth_error,chant_sura_2_2_relative_energy_loss_error,chant_sura_2_2_relative_post_rebound_energy_error,chant_sura_2_3_observed_depth_m,chant_sura_2_3_simulated_depth_m,chant_sura_2_3_observed_energy_loss_j,chant_sura_2_3_simulated_energy_loss_j,chant_sura_2_3_observed_post_rebound_translational_j,chant_sura_2_3_simulated_post_rebound_translational_j,chant_sura_2_3_observed_total_translational_energy_loss_j,chant_sura_2_3_incoming_normal_speed_mps,chant_sura_2_3_incoming_tangent_speed_mps,chant_sura_2_3_post_contact_translational_j,chant_sura_2_3_post_scarring_translational_j,chant_sura_2_3_scarring_loss_fraction_of_post_contact_energy,chant_sura_2_3_relative_depth_error,chant_sura_2_3_relative_energy_loss_error,chant_sura_2_3_relative_post_rebound_energy_error,chant_sura_4_1_observed_depth_m,chant_sura_4_1_simulated_depth_m,chant_sura_4_1_observed_energy_loss_j,chant_sura_4_1_simulated_energy_loss_j,chant_sura_4_1_observed_post_rebound_translational_j,chant_sura_4_1_simulated_post_rebound_translational_j,chant_sura_4_1_observed_total_translational_energy_loss_j,chant_sura_4_1_incoming_normal_speed_mps,chant_sura_4_1_incoming_tangent_speed_mps,chant_sura_4_1_post_contact_translational_j,chant_sura_4_1_post_scarring_translational_j,chant_sura_4_1_scarring_loss_fraction_of_post_contact_energy,chant_sura_4_1_relative_depth_error,chant_sura_4_1_relative_energy_loss_error,chant_sura_4_1_relative_post_rebound_energy_error,chant_sura_4_2_observed_depth_m,chant_sura_4_2_simulated_depth_m,chant_sura_4_2_observed_energy_loss_j,chant_sura_4_2_simulated_energy_loss_j,chant_sura_4_2_observed_post_rebound_translational_j,chant_sura_4_2_simulated_post_rebound_translational_j,chant_sura_4_2_observed_total_translational_energy_loss_j,chant_sura_4_2_incoming_normal_speed_mps,chant_sura_4_2_incoming_tangent_speed_mps,chant_sura_4_2_post_contact_translational_j,chant_sura_4_2_post_scarring_translational_j,chant_sura_4_2_scarring_loss_fraction_of_post_contact_energy,chant_sura_4_2_relative_depth_error,chant_sura_4_2_relative_energy_loss_error,chant_sura_4_2_relative_post_rebound_energy_error,chant_sura_4_3_observed_depth_m,chant_sura_4_3_simulated_depth_m,chant_sura_4_3_observed_energy_loss_j,chant_sura_4_3_simulated_energy_loss_j,chant_sura_4_3_observed_post_rebound_translational_j,chant_sura_4_3_simulated_post_rebound_translational_j,chant_sura_4_3_observed_total_translational_energy_loss_j,chant_sura_4_3_incoming_normal_speed_mps,chant_sura_4_3_incoming_tangent_speed_mps,chant_sura_4_3_post_contact_translational_j,chant_sura_4_3_post_scarring_translational_j,chant_sura_4_3_scarring_loss_fraction_of_post_contact_energy,chant_sura_4_3_relative_depth_error,chant_sura_4_3_relative_energy_loss_error,chant_sura_4_3_relative_post_rebound_energy_error
candidate_014,500000.0,1.0,1200.0,1.4183249156028892,2.1328209598007457,,0.3465808493061043,0.1,0.42651232335496264,,91406.25000000004,53800.0,60384.74812499994,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,60384.74812499994,0.6021849195874378,3.265123233549626,,0.12239308782527769,0.12,0.2744806952730731,,23023.534618137586,120800.0,49352.266996862396,0.0,5.478923251880793,15.81799608041423,72375.80161499999,49352.266996862396,0.3181109446028702,1.2873391272756094,,0.5914547434034569,0.08,0.13083373193474265,,10681.34486768307,97200.0,146934.4359782315,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,146934.4359782315,0.06776824509802842,0.6354216491842831,,0.5116711520394186,0.05,0.3115465531365006,,82169.92511719992,135100.0,154135.71958839346,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,154135.71958839346,0.3477273055392865,5.230931062730011,,0.14090095920350454,0.08,0.17547822571643312,,19381.73255917897,95300.0,140743.93831599082,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,140743.93831599082,0.12104075788252908,1.193477821455414,,0.476851398908613,0.16,0.34954125833752464,,56121.403272952484,89300.0,68206.1117270475,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,68206.1117270475,0.4513997024146465,1.184632864609529,,0.23621375445635506
candidate_015,500000.0,1.0,1600.0,1.4457301864812426,2.1328209598007457,,0.415094026501988,0.1,0.42651232335496264,,121875.00000000004,53800.0,29915.99812499994,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,29915.99812499994,0.8029132261165837,3.265123233549626,,0.4439405552973989,0.12,0.2744806952730731,,30698.04615751678,120800.0,41677.75545748321,0.0,5.478923251880793,15.81799608041423,72375.80161499999,41677.75545748321,0.42414792613716024,1.2873391272756094,,0.654985468067192,0.08,0.13083373193474265,,14241.79315691076,97200.0,143373.98768900376,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,143373.98768900376,0.09035766013070456,0.6354216491842831,,0.47504102560703454,0.05,0.3115465531365006,,109559.90015626657,135100.0,126745.74454932677,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,126745.74454932677,0.4636364073857153,5.230931062730011,,0.061837568102688575,0.08,0.17547822571643312,,25842.310078905295,95300.0,134283.36079626452,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,134283.36079626452,0.16138767717670546,1.193477821455414,,0.40905939975093936,0.16,0.34954125833752464,,74828.53769726999,89300.0,49498.977302729974,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,49498.977302729974,0.6018662698861954,1.184632864609529,,0.4457001421866744
candidate_013,500000.0,0.5,1600.0,1.4583567278445473,2.1328209598007457,,0.44666037991024976,0.1,0.42651232335496264,,60937.50000000002,53800.0,90853.49812499994,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,90853.49812499994,0.40145661305829183,3.265123233549626,,0.6887267309479542,0.12,0.2744806952730731,,15349.02307875839,120800.0,57026.77853624161,0.0,5.478923251880793,15.81799608041423,72375.80161499999,57026.77853624161,0.21207396306858012,1.2873391272756094,,0.5279240187397217,0.08,0.13083373193474265,,7120.89657845538,97200.0,150494.88426745916,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,150494.88426745916,0.04517883006535228,0.6354216491842831,,0.548301278471802,0.05,0.3115465531365006,,54779.95007813328,135100.0,181525.69462746006,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,181525.69462746006,0.23181820369285766,5.230931062730011,,0.343639486509697,0.08,0.17547822571643312,,12921.155039452648,95300.0,147204.51583571717,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,147204.51583571717,0.08069383858835273,1.193477821455414,,0.5446433980662873,0.16,0.34954125833752464,,37414.268848634994,89300.0,86913.24615136496,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,86913.24615136496,0.3009331349430977,1.184632864609529,,0.026727366726036265
candidate_012,500000.0,0.5,1200.0,1.488774744250593,2.1328209598007457,,0.5227054209253638,0.1,0.42651232335496264,,45703.12500000002,53800.0,106087.87312499994,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,106087.87312499994,0.3010924597937189,3.265123233549626,,0.9718935525092925,0.12,0.2744806952730731,,11511.767309068793,120800.0,60864.0343059312,0.0,5.478923251880793,15.81799608041423,72375.80161499999,60864.0343059312,0.1590554723014351,1.2873391272756094,,0.4961586564078543,0.08,0.13083373193474265,,5340.672433841535,97200.0,152275.10841207302,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,152275.10841207302,0.03388412254901421,0.6354216491842831,,0.566616341687994,0.05,0.3115465531365006,,41084.96255859996,135100.0,195220.68214699338,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,195220.68214699338,0.17386365276964325,5.230931062730011,,0.44500875016279334,0.08,0.17547822571643312,,9690.866279589485,95300.0,150434.80459558035,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,150434.80459558035,0.06052037894126454,1.193477821455414,,0.5785393976451244,0.16,0.34954125833752464,,28060.701636476242,89300.0,96266.81336352376,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,96266.81336352376,0.22569985120732325,1.184632864609529,,0.07801582713912386
candidate_016,500000.0,2.0,1200.0,1.5323119513427745,2.1328209598007457,,0.631548438655818,0.1,0.42651232335496264,,151790.99812499998,53800.0,0.0,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,0.0,1.0,3.265123233549626,,1.0,0.12,0.2744806952730731,,46047.06923627517,120800.0,26328.732378724817,0.0,5.478923251880793,15.81799608041423,72375.80161499999,26328.732378724817,0.6362218892057404,1.2873391272756094,,0.7820469173946621,0.08,0.13083373193474265,,21362.68973536614,97200.0,136253.09111054838,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,136253.09111054838,0.13553649019605685,0.6354216491842831,,0.4017807727422673,0.05,0.3115465531365006,,164339.85023439984,135100.0,71965.7944711935,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,71965.7944711935,0.695454611078573,5.230931062730011,,0.467314622715074,0.08,0.17547822571643312,,38763.46511835794,95300.0,121362.20575681189,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,121362.20575681189,0.24208151576505815,1.193477821455414,,0.27347540143559174,0.16,0.34954125833752464,,112242.80654590497,89300.0,12084.708454095,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,12084.708454095,0.902799404829293,1.184632864609529,,0.8646729176473124
candidate_017,500000.0,2.0,1600.0,1.5629133736836032,2.1328209598007457,,0.7080519945078892,0.1,0.42651232335496264,,151790.99812499998,53800.0,0.0,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,0.0,1.0,3.265123233549626,,1.0,0.12,0.2744806952730731,,61396.09231503356,120800.0,10979.709299966431,0.0,5.478923251880793,15.81799608041423,72375.80161499999,10979.709299966431,0.8482958522743205,1.2873391272756094,,0.9091083667221322,0.08,0.13083373193474265,,28483.58631382152,97200.0,129132.19453209305,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,129132.19453209305,0.18071532026140913,0.6354216491842831,,0.3285205198775005,0.05,0.3115465531365006,,219119.80031253313,135100.0,17185.8443930602,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,17185.8443930602,0.9272728147714306,5.230931062730011,,0.8727916773274597,0.08,0.17547822571643312,,51684.62015781059,95300.0,108441.05071735923,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,108441.05071735923,0.3227753543534109,1.193477821455414,,0.1378914031202438,0.16,0.34954125833752464,,124327.51499999997,89300.0,0.0,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,0.0,1.0,1.184632864609529,,1.0
candidate_008,250000.0,1.0,1200.0,1.8634430483470519,2.870502216232452,,0.3528542965189516,0.1,0.42651232335496264,,91406.25000000004,53800.0,60384.74812499994,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,60384.74812499994,0.6021849195874378,3.265123233549626,,0.12239308782527769,0.12,0.3621794487672641,,34009.808280657286,120800.0,38365.99333434271,0.0,5.478923251880793,15.81799608041423,72375.80161499999,38365.99333434271,0.46990579063387816,2.0181620730605343,,0.6824007174309378,0.08,0.17263614428383317,,17520.838207885892,97200.0,140094.94263802865,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,140094.94263802865,0.11116170039479926,1.1579518035479146,,0.4413059942184017,0.05,0.4110881414376404,,116765.85765475778,135100.0,119539.78705083554,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,119539.78705083554,0.49413063238600646,7.221762828752808,,0.11517552145939644,0.08,0.23154490700122501,,30953.125799670615,95300.0,129172.54507549922,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,129172.54507549922,0.1933052060328349,1.8943113375153129,,0.35543069334206945,0.16,0.42651232335496264,,70785.00000000003,89300.0,53542.51499999994,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,53542.51499999994,0.5693429970027153,1.6657020209685167,,0.40041976483762665
candidate_007,250000.0,0.5,1600.0,1.8924005768306063,2.870502216232452,,0.4252481177278377,0.1,0.42651232335496264,,60937.50000000002,53800.0,90853.49812499994,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,90853.49812499994,0.40145661305829183,3.265123233549626,,0.6887267309479542,0.12,0.3621794487672641,,22673.205520438194,120800.0,49702.59609456179,0.0,5.478923251880793,15.81799608041423,72375.80161499999,49702.59609456179,0.3132705270892522,2.0181620730605343,,0.5885546680913758,0.08,0.17263614428383317,,11680.55880525726,97200.0,145935.2220406573,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,145935.2220406573,0.0741078002631995,1.1579518035479146,,0.5013911732577911,0.05,0.4110881414376404,,77843.90510317186,135100.0,158461.7396024215,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,158461.7396024215,0.329420421590671,7.221762828752808,,0.17292183273443004,0.08,0.23154490700122501,,20635.41719978041,95300.0,139490.25367538942,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,139490.25367538942,0.12887013735522326,1.8943113375153129,,0.4636962610219247,0.16,0.42651232335496264,,47190.000000000015,89300.0,77137.51499999996,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,77137.51499999996,0.3795619980018102,1.6657020209685167,,0.13619804031355032
candidate_006,250000.0,0.5,1200.0,1.9145577091696766,2.870502216232452,,0.4806409485755134,0.1,0.42651232335496264,,45703.12500000002,53800.0,106087.87312499994,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,106087.87312499994,0.3010924597937189,3.265123233549626,,0.9718935525092925,0.12,0.3621794487672641,,17004.904140328643,120800.0,55370.89747467136,0.0,5.478923251880793,15.81799608041423,72375.80161499999,55370.89747467136,0.23495289531693908,2.0181620730605343,,0.5416316434215948,0.08,0.17263614428383317,,8760.419103942946,97200.0,148855.36174197163,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,148855.36174197163,0.05558085019739963,1.1579518035479146,,0.5314337627774859,0.05,0.4110881414376404,,58382.92882737889,135100.0,177922.71587821445,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,177922.71587821445,0.24706531619300323,7.221762828752808,,0.3169705098313431,0.08,0.23154490700122501,,15476.562899835308,95300.0,144649.10797533448,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,144649.10797533448,0.09665260301641745,1.8943113375153129,,0.5178290448618519,0.16,0.42651232335496264,,35392.500000000015,89300.0,88935.01499999996,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,88935.01499999996,0.28467149850135764,1.6657020209685167,,0.004087178051512253
candidate_009,250000.0,1.0,1600.0,1.9167338382677412,2.870502216232452,,0.4860812713206752,0.1,0.42651232335496264,,121875.00000000004,53800.0,29915.99812499994,190800.0,10.528675130328605,22.674809811771297,151790.99812499998,29915.99812499994,0.8029132261165837,3.265123233549626,,0.4439405552973989,0.12,0.3621794487672641,,45346.41104087639,120800.0,27029.390574123598,0.0,5.478923251880793,15.81799608041423,72375.80161499999,27029.390574123598,0.6265410541785044,2.0181620730605343,,0.7762467667705001,0.08,0.17263614428383317,,23361.11761051452,97200.0,134254.66323540005,78800.0,2.169976958403015,21.29974882481012,157615.78084591453,134254.66323540005,0.148215600526399,1.1579518035479146,,0.38122081517901285,0.05,0.4110881414376404,,155687.8102063437,135100.0,80617.83449924963,188300.0,6.418878406700037,28.07557657466717,236305.64470559332,80617.83449924963,0.658840843181342,7.221762828752808,,0.4032728756532226,0.08,0.23154490700122501,,41270.83439956082,95300.0,118854.83647560899,96900.0,3.132091952673165,21.977943488870835,160125.67087516983,118854.83647560899,0.2577402747104465,1.8943113375153129,,0.24716512566221394,0.16,0.42651232335496264,,94380.00000000003,89300.0,29947.514999999938,98900.0,7.411882352007485,20.71386009414952,124327.51499999997,29947.514999999938,0.7591239960036203,1.6657020209685167,,0.6646414893617028
