impact_id,source_dataset_id,source_publication,source_transition,scar_id,mass_kg,radius_m,incoming_total_speed_mps,incoming_normal_speed_mps,incoming_tangent_speed_mps,impact_angle_deg,observed_scarring_depth_m,observed_scarring_depth_ifm_m,observed_scarring_depth_source,observed_pre_impact_translational_j,observed_post_rebound_translational_j,observed_total_translational_energy_loss_j,observed_scarring_energy_loss_j,published_energy_transition_ratio,notes
chant_sura_2_1,chant_sura_2020,"Caviezel et al. 2019, Earth Surface Dynamics, doi:10.5194/esurf-7-199-2019",21->22,2.1,780.0,0.42651232335496264,25.0,10.528675130328603,22.674809811771297,24.90702392018205,0.1,0.2,adm_max_depth_from_uas_altitude_difference_map,244600.0,53800.0,190800.0,,0.21,Real reconstructed impact/scar row. Normal/tangent split is an effective flat-plane proxy derived from published jump height; energy loss includes all translational contact losses and is not purely scarring.
chant_sura_2_2,chant_sura_2020,"Caviezel et al. 2019, Earth Surface Dynamics, doi:10.5194/esurf-7-199-2019",22->23,2.2,780.0,0.42651232335496264,16.74,5.478923251880793,15.81799608041423,19.10469292537166,0.12,0.13,adm_max_depth_from_uas_altitude_difference_map,109300.0,120800.0,0.0,,1.11,Real reconstructed impact/scar row. Normal/tangent split is an effective flat-plane proxy derived from published jump height; energy loss includes all translational contact losses and is not purely scarring.
chant_sura_2_3,chant_sura_2020,"Caviezel et al. 2019, Earth Surface Dynamics, doi:10.5194/esurf-7-199-2019",23->24,2.3,780.0,0.42651232335496264,21.41,2.169976958403015,21.29974882481012,5.8171123772620374,0.08,0.15,adm_max_depth_from_uas_altitude_difference_map,176000.0,97200.0,78800.0,,0.55,Real reconstructed impact/scar row. Normal/tangent split is an effective flat-plane proxy derived from published jump height; energy loss includes all translational contact losses and is not purely scarring.
chant_sura_4_1,chant_sura_2020,"Caviezel et al. 2019, Earth Surface Dynamics, doi:10.5194/esurf-7-199-2019",41->42,4.1,780.0,0.42651232335496264,28.8,6.418878406700037,28.07557657466717,12.87811192489291,0.05,0.2,adm_max_depth_from_uas_altitude_difference_map,323400.0,135100.0,188300.0,,0.42,Real reconstructed impact/scar row. Normal/tangent split is an effective flat-plane proxy derived from published jump height; energy loss includes all translational contact losses and is not purely scarring.
chant_sura_4_2,chant_sura_2020,"Caviezel et al. 2019, Earth Surface Dynamics, doi:10.5194/esurf-7-199-2019",42->43,4.2,780.0,0.42651232335496264,22.2,3.132091952673165,21.977943488870835,8.110648287132008,0.08,0.22,adm_max_depth_from_uas_altitude_difference_map,192200.0,95300.0,96900.0,,0.5,Real reconstructed impact/scar row. Normal/tangent split is an effective flat-plane proxy derived from published jump height; energy loss includes all translational contact losses and is not purely scarring.
chant_sura_4_3,chant_sura_2020,"Caviezel et al. 2019, Earth Surface Dynamics, doi:10.5194/esurf-7-199-2019",43->44,4.3,780.0,0.42651232335496264,22.0,7.411882352007485,20.71386009414952,19.68834524312811,0.16,0.29,adm_max_depth_from_uas_altitude_difference_map,188200.0,89300.0,98900.0,,0.47,Real reconstructed impact/scar row. Normal/tangent split is an effective flat-plane proxy derived from published jump height; energy loss includes all translational contact losses and is not purely scarring.
