trajectory_id,experiment_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,mass_kg,radius_m,source_trajectory_id,segment_id,segment_index,z_offset_applied_m
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,2793260.85,1180275.93,2381.11579072,1.17599999905,-4.33600000013,-4.23375,210,0.265790716577,RF16W200r1,RF16W200r1_seg00,0,0.265790716577
RF16W200r1_seg01,chant_sura_2020_rf16_contact_subset,2793261.419,1180274.38,2379.40679072,1.82363636326,-1.96636363631,1.37186363636,210,0.265790716577,RF16W200r1,RF16W200r1_seg01,1,0.265790716577
RF16W200r1_seg02,chant_sura_2020_rf16_contact_subset,2793263.718,1180271.941,2374.71579072,1.15921052638,-3.91973684217,1.23569473684,210,0.265790716577,RF16W200r1,RF16W200r1_seg02,2,0.265790716577
