trajectory_id,experiment_id,time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,speed_mps,kinetic_j,rotational_j,total_energy_j,omega_x_radps,omega_y_radps,omega_z_radps,source_trajectory_id,segment_id,segment_index,raw_z_m,z_offset_applied_m
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0,2793260.85,1180275.93,2381.11579072,1.17599999905,-4.33600000013,-4.23375,6.17320913799,4001.39366144,297.614171541,4299.00783298,8.01718014557,-0.349406735018,0.847950491081,RF16W200r1,RF16W200r1_seg00,0,2380.85,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.005,2793260.85588,1180275.90832,2381.09449934,1.17599999905,-4.33600000013,-4.2828,6.20695157375,4045.25602308,300.607008029,4345.86303111,8.05766019414,-0.35153726389,0.847950491081,RF16W200r1,RF16W200r1_seg00,0,2380.82870863,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.01,2793260.86176,1180275.88664,2381.07296272,1.17599999905,-4.33600000013,-4.33185,6.24089708466,4089.62362424,303.138013985,4392.76163823,8.0917486561,-0.357928850507,0.845819962209,RF16W200r1,RF16W200r1_seg00,0,2380.807172,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.015,2793260.86764,1180275.86496,2381.05118084,1.17599999905,-4.33600000013,-4.3809,6.27504237506,4134.49646493,304.37966274,4438.87612767,8.10879288707,-0.360059379379,0.839428375593,RF16W200r1,RF16W200r1_seg00,0,2380.78539013,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.02,2793260.87352,1180275.84328,2381.02915372,1.17599999905,-4.33600000013,-4.42995,6.30938420144,4179.87454514,304.841271878,4484.71581702,8.11518447369,-0.357928850507,0.837297846721,RF16W200r1,RF16W200r1_seg00,0,2380.763363,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.025,2793260.8794,1180275.8216,2381.00688134,1.17599999905,-4.33600000013,-4.479,6.34391937203,4225.75786488,305.262656616,4531.02052149,8.12157606031,-0.355798321635,0.826645202361,RF16W200r1,RF16W200r1_seg00,0,2380.74109063,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.03,2793260.88528,1180275.79992,2380.98436372,1.17599999905,-4.33600000013,-4.52805,6.37864474644,4272.14642414,305.358449895,4577.50487404,8.12370658918,-0.349406735018,0.815992558,RF16W200r1,RF16W200r1_seg00,0,2380.718573,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.035,2793260.89116,1180275.77824,2380.96160084,1.17599999905,-4.33600000013,-4.5771,6.41355723517,4319.04022293,305.161170522,4624.20139345,8.12157606031,-0.345145677274,0.809600971384,RF16W200r1,RF16W200r1_seg00,0,2380.69581013,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.04,2793260.89704,1180275.75656,2380.93859272,1.17599999905,-4.33600000013,-4.62615,6.44865379915,4366.43926124,305.406245424,4671.84550667,8.12583711805,-0.343015148402,0.79468726928,RF16W200r1,RF16W200r1_seg00,0,2380.672802,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.045,2793260.90292,1180275.73488,2380.91533934,1.17599999905,-4.33600000013,-4.6752,6.48393144927,4414.34353908,305.079945164,4719.42348424,8.12157606031,-0.338754090658,0.79468726928,RF16W200r1,RF16W200r1_seg00,0,2380.64954863,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.05,2793260.9088,1180275.7132,2380.89184072,1.17599999905,-4.33600000013,-4.72425,6.51938724585,4462.75305644,304.689485471,4767.44254191,8.11731500256,-0.325970917426,0.784034624919,RF16W200r1,RF16W200r1_seg00,0,2380.62605,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.055,2793260.91468,1180275.69152,2380.86809684,1.17599999905,-4.33600000013,-4.7733,6.55501829813,4511.66781333,304.660833793,4816.32864712,8.11731500256,-0.325970917426,0.777643038303,RF16W200r1,RF16W200r1_seg00,0,2380.60230612,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.06,2793260.92056,1180275.66984,2380.84410772,1.17599999905,-4.33600000013,-4.82235,6.59082176374,4561.08780974,304.773468891,4865.86127863,8.11944553143,-0.311057215321,0.773381980559,RF16W200r1,RF16W200r1_seg00,0,2380.578317,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.065,2793260.92644,1180275.64816,2380.81987334,1.17599999905,-4.33600000013,-4.8714,6.6267948481,4611.01304568,304.543295463,4915.55634114,8.11731500256,-0.302535099833,0.760598807327,RF16W200r1,RF16W200r1_seg00,0,2380.55408262,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.07,2793260.93232,1180275.62648,2380.79539372,1.17599999905,-4.33600000013,-4.92045,6.66293480392,4661.44352114,304.857402798,4966.30092394,8.12157606031,-0.300404570961,0.760598807327,RF16W200r1,RF16W200r1_seg00,0,2380.529603,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.075,2793260.9382,1180275.6048,2380.77066884,1.17599999905,-4.33600000013,-4.9695,6.69923893057,4712.37923613,304.964870431,5017.34410656,8.12370658918,-0.291882455473,0.752076691838,RF16W200r1,RF16W200r1_seg00,0,2380.50487812,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.08,2793260.94408,1180275.58312,2380.74569872,1.17599999905,-4.33600000013,-5.01855,6.73570457349,4763.82019064,304.780477147,5068.60066779,8.12157606031,-0.287621397729,0.747815634094,RF16W200r1,RF16W200r1_seg00,0,2380.479908,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.085,2793260.94996,1180275.56144,2380.72048334,1.17599999905,-4.33600000013,-5.0676,6.77232912364,4815.76638468,305.030164462,5120.79654914,8.12583711805,-0.27909928224,0.735032460862,RF16W200r1,RF16W200r1_seg00,0,2380.45469263,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.09,2793260.95584,1180275.53976,2380.69502272,1.17599999905,-4.33600000013,-5.11665,6.80911001683,4868.21781824,305.182432427,5173.40025067,8.12796764692,-0.274838224496,0.735032460862,RF16W200r1,RF16W200r1_seg00,0,2380.429232,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.095,2793260.96172,1180275.51808,2380.66931684,1.17599999905,-4.33600000013,-5.1657,6.84604473319,4921.17449133,305.299093614,5226.47358494,8.13009817579,-0.270577166752,0.726510345374,RF16W200r1,RF16W200r1_seg00,0,2380.40352613,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.1,2793260.9676,1180275.4964,2380.64336572,1.17599999905,-4.33600000013,-5.21475,6.88313079647,4974.63640394,305.094079981,5279.73048392,8.12796764692,-0.25779399352,0.720118758757,RF16W200r1,RF16W200r1_seg00,0,2380.377575,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.105,2793260.97348,1180275.47472,2380.61716934,1.17599999905,-4.33600000013,-5.2638,6.92036577349,5028.60355608,305.211887756,5333.81544383,8.13009817579,-0.253532935776,0.711596643269,RF16W200r1,RF16W200r1_seg00,0,2380.35137863,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.11,2793260.97936,1180275.45304,2380.59072772,1.17599999905,-4.33600000013,-5.31285,6.95774727346,5083.07594774,305.315626372,5388.39157411,8.13222870467,-0.245010820287,0.700943998909,RF16W200r1,RF16W200r1_seg00,0,2380.324937,0.265790716577
