candidate_id,soil_strength_pa,scarring_drag_coefficient,scarring_layer_density_kgpm3,objective,mean_relative_depth_error,mean_relative_energy_loss_error,mean_relative_post_rebound_energy_error,low_observed_depth_m,low_simulated_depth_m,low_observed_energy_loss_j,low_simulated_energy_loss_j,low_observed_post_rebound_translational_j,low_simulated_post_rebound_translational_j,low_observed_total_translational_energy_loss_j,low_incoming_normal_speed_mps,low_incoming_tangent_speed_mps,low_post_contact_translational_j,low_post_scarring_translational_j,low_scarring_loss_fraction_of_post_contact_energy,low_relative_depth_error,low_relative_energy_loss_error,low_relative_post_rebound_energy_error,moderate_observed_depth_m,moderate_simulated_depth_m,moderate_observed_energy_loss_j,moderate_simulated_energy_loss_j,moderate_observed_post_rebound_translational_j,moderate_simulated_post_rebound_translational_j,moderate_observed_total_translational_energy_loss_j,moderate_incoming_normal_speed_mps,moderate_incoming_tangent_speed_mps,moderate_post_contact_translational_j,moderate_post_scarring_translational_j,moderate_scarring_loss_fraction_of_post_contact_energy,moderate_relative_depth_error,moderate_relative_energy_loss_error,moderate_relative_post_rebound_energy_error,high_observed_depth_m,high_simulated_depth_m,high_observed_energy_loss_j,high_simulated_energy_loss_j,high_observed_post_rebound_translational_j,high_simulated_post_rebound_translational_j,high_observed_total_translational_energy_loss_j,high_incoming_normal_speed_mps,high_incoming_tangent_speed_mps,high_post_contact_translational_j,high_post_scarring_translational_j,high_scarring_loss_fraction_of_post_contact_energy,high_relative_depth_error,high_relative_energy_loss_error,high_relative_post_rebound_energy_error
candidate_013,500000.0,0.01,1600.0,2.982566886157311e-17,5.422848883922383e-17,0.0,,0.085304410436116,0.08530441043611599,1.5996717100420443,1.5996717100420443,,44.560484539957955,,3.0,0.75,46.16015625000001,44.560484539957955,0.03465481575448619,1.626854665176715e-16,0.0,,0.13853663468514138,0.13853663468514138,13.504835583870411,13.504835583870411,,148.13578941612963,,5.5,1.5,161.64062500000003,148.13578941612963,0.08354852367015043,0.0,0.0,,0.18695904096033866,0.18695904096033866,50.175482367074366,50.175482367074366,,318.7151426329256,,8.0,2.5,368.89062500000006,318.7151426329256,0.13601723374529878,0.0,0.0,
candidate_012,500000.0,0.01,1200.0,0.11249999999999999,5.422848883922383e-17,0.24999999999999992,,0.085304410436116,0.08530441043611599,1.5996717100420443,1.1997537825315332,,44.960402467468484,,3.0,0.75,46.16015625000001,44.960402467468484,0.02599111181586464,1.626854665176715e-16,0.25000000000000006,,0.13853663468514138,0.13853663468514138,13.504835583870411,10.128626687902809,,151.51199831209715,,5.5,1.5,161.64062500000003,151.51199831209715,0.06266139275261283,0.0,0.24999999999999997,,0.18695904096033866,0.18695904096033866,50.175482367074366,37.631611775305785,,331.25901322469423,,8.0,2.5,368.89062500000006,331.25901322469423,0.10201292530897411,0.0,0.24999999999999978,
candidate_014,500000.0,0.01,2000.0,0.11250000000000003,5.422848883922383e-17,0.25,,0.085304410436116,0.08530441043611599,1.5996717100420443,1.9995896375525553,,44.16056661244746,,3.0,0.75,46.16015625000001,44.16056661244746,0.04331851969310773,1.626854665176715e-16,0.2499999999999999,,0.13853663468514138,0.13853663468514138,13.504835583870411,16.881044479838014,,144.759580520162,,5.5,1.5,161.64062500000003,144.759580520162,0.10443565458768804,0.0,0.24999999999999997,,0.18695904096033866,0.18695904096033866,50.175482367074366,62.71935295884296,,306.171272041157,,8.0,2.5,368.89062500000006,306.171272041157,0.1700215421816235,0.0,0.25000000000000006,
candidate_011,500000.0,0.005,2000.0,0.16875000000000004,5.422848883922383e-17,0.375,,0.085304410436116,0.08530441043611599,1.5996717100420443,0.9997948187762776,,45.16036143122373,,3.0,0.75,46.16015625000001,45.16036143122373,0.021659259846553865,1.626854665176715e-16,0.37500000000000006,,0.13853663468514138,0.13853663468514138,13.504835583870411,8.440522239919007,,153.200102760081,,5.5,1.5,161.64062500000003,153.200102760081,0.05221782729384402,0.0,0.375,,0.18695904096033866,0.18695904096033866,50.175482367074366,31.35967647942148,,337.5309485205785,,8.0,2.5,368.89062500000006,337.5309485205785,0.08501077109081175,0.0,0.37499999999999994,
candidate_024,1000000.0,0.02,1200.0,0.18034629813376774,0.24214171674480098,0.1048185642758382,,0.085304410436116,0.06464865404721175,1.5996717100420443,1.4092768485905949,,44.750879401409414,,3.0,0.75,46.16015625000001,44.750879401409414,0.030530157674468327,0.24214171674480106,0.11902120932453403,,0.13853663468514138,0.10499113613043391,13.504835583870411,12.087795020982083,,149.55282997901793,,5.5,1.5,161.64062500000003,149.55282997901793,0.0747819121646064,0.24214171674480092,0.10492838317711765,,0.18695904096033866,0.1416884578212407,50.175482367074366,45.63429512606137,,323.2563298739386,,8.0,2.5,368.89062500000006,323.2563298739386,0.12370684434190042,0.24214171674480092,0.09050610032586293,
candidate_002,250000.0,0.005,2000.0,0.19017079067187265,0.31950791077289425,0.03209208832617958,,0.085304410436116,0.1125598443942729,1.5996717100420443,1.6888744650072172,,44.47128178499279,,3.0,0.75,46.16015625000001,44.47128178499279,0.03658727790825485,0.3195079107728942,0.05576316340733956,,0.13853663468514138,0.18280018539889858,13.504835583870411,13.940705770601477,,147.69991922939852,,5.5,1.5,161.64062500000003,147.69991922939852,0.08624506228308307,0.3195079107728943,0.03227511982831173,,0.18695904096033866,0.24669393353768043,50.175482367074366,50.588827074754896,,318.3017979252452,,8.0,2.5,368.89062500000006,318.3017979252452,0.1371377412336106,0.31950791077289425,0.008237981742887448,
candidate_025,1000000.0,0.02,1600.0,0.22028680564413766,0.24214171674480098,0.19357524763221579,,0.085304410436116,0.06464865404721175,1.5996717100420443,1.879035798120793,,44.28112045187921,,3.0,0.75,46.16015625000001,44.28112045187921,0.0407068768992911,0.24214171674480106,0.17463838756728786,,0.13853663468514138,0.10499113613043391,13.504835583870411,16.117060027976116,,145.5235649720239,,5.5,1.5,161.64062500000003,145.5235649720239,0.09970921621947523,0.24214171674480092,0.19342882243051013,,0.18695904096033866,0.1416884578212407,50.175482367074366,60.84572683474849,,308.0448981652514,,8.0,2.5,368.89062500000006,308.0448981652514,0.16494245912253389,0.24214171674480092,0.21265853289884942,
candidate_010,500000.0,0.005,1600.0,0.22500000000000003,5.422848883922383e-17,0.5,,0.085304410436116,0.08530441043611599,1.5996717100420443,0.7998358550210222,,45.360320394978984,,3.0,0.75,46.16015625000001,45.360320394978984,0.017327407877243094,1.626854665176715e-16,0.5,,0.13853663468514138,0.13853663468514138,13.504835583870411,6.752417791935206,,154.88820720806478,,5.5,1.5,161.64062500000003,154.88820720806478,0.04177426183507522,0.0,0.5,,0.18695904096033866,0.18695904096033866,50.175482367074366,25.087741183537183,,343.80288381646295,,8.0,2.5,368.89062500000006,343.80288381646295,0.06800861687264939,0.0,0.5,
candidate_015,500000.0,0.02,1200.0,0.2250000000000001,5.422848883922383e-17,0.5000000000000001,,0.085304410436116,0.08530441043611599,1.5996717100420443,2.3995075650630664,,43.76064868493694,,3.0,0.75,46.16015625000001,43.76064868493694,0.05198222363172928,1.626854665176715e-16,0.49999999999999994,,0.13853663468514138,0.13853663468514138,13.504835583870411,20.257253375805618,,141.3833716241944,,5.5,1.5,161.64062500000003,141.3833716241944,0.12532278550522566,0.0,0.5000000000000001,,0.18695904096033866,0.18695904096033866,50.175482367074366,75.26322355061157,,293.6274014493884,,8.0,2.5,368.89062500000006,293.6274014493884,0.20402585061794823,0.0,0.5000000000000004,
candidate_023,1000000.0,0.01,2000.0,0.24748490581307986,0.24214171674480098,0.2540154702298651,,0.085304410436116,0.06464865404721175,1.5996717100420443,1.1743973738254958,,44.98575887617452,,3.0,0.75,46.16015625000001,44.98575887617452,0.02544179806205694,0.24214171674480106,0.26585100777044496,,0.13853663468514138,0.10499113613043391,13.504835583870411,10.073162517485072,,151.56746248251497,,5.5,1.5,161.64062500000003,151.56746248251497,0.06231826013717201,0.24214171674480092,0.25410698598093123,,0.18695904096033866,0.1416884578212407,50.175482367074366,38.0285792717178,,330.8620457282823,,8.0,2.5,368.89062500000006,330.8620457282823,0.10308903695158368,0.24214171674480092,0.24208841693821917,
